1;Abacavir;Ziagen;Comprimido revestido por película;300 mg;Autorizado;N;ViiV Healthcare UK Ltd.;50
2;Abacavir;Ziagen;Solução oral;20 mg/ml;Autorizado;N;ViiV Healthcare UK Ltd.;50
3;Abacavir + Lamivudina;Kivexa;Comprimido revestido por película;600 mg + 300 mg;Autorizado;N;ViiV Healthcare UK Ltd.;50
4;Abacavir + Lamivudina + Zidovudina;Abacavir + Lamivudina + Zidovudina Teva;Comprimido revestido por película;300 mg + 150 mg + 300 mg;Autorizado;S;Teva Pharma - Produtos Farmacêuticos, Lda.;50
5;Abacavir + Lamivudina + Zidovudina;Trizivir;Comprimido revestido por película;300 mg + 150 mg + 300 mg;Autorizado;N;ViiV Healthcare UK Ltd.;50
6;Abatacept;Orencia;Pó para concentrado para solução para perfusão;250 mg;Autorizado;N;Bristol-Myers Squibb Pharma EEIG;50
7;Abatacept;Orencia;Solução injetável em caneta pré-cheia;125 mg/1 ml;Autorizado;N;Bristol-Myers Squibb Pharma EEIG;50
8;Abatacept;Orencia;Solução injetável em seringa pré-cheia;125 mg/1 ml;Autorizado;N;Bristol-Myers Squibb Pharma EEIG;50
9;Abciximab;Reopro;Solução injetável;10 mg/5 ml;Autorizado;N;Janssen Biologics B.V.;50
10;Abiraterona;Zytiga;Comprimido;250 mg;Autorizado;N;Janssen-Cilag International N.V.;50
11;Acamprosato;Campral;Comprimido gastrorresistente;333 mg;Autorizado;N;Merck Santé S.A.S.;50
12;Acarbose;Acarbose Bluepharma;Comprimido;100 mg;Autorizado;S;Bluepharma Genéricos - Comércio de Medicamentos, S.A.;50
13;Acarbose;Acarbose Bluepharma;Comprimido;50 mg;Autorizado;S;Bluepharma Genéricos - Comércio de Medicamentos, S.A.;50
14;Acarbose;Acarbose Bluesar;Comprimido;100 mg;Autorizado;S;Bluepharma - Indústria Farmacêutica, S.A.;50
15;Acarbose;Acarbose Bluesar;Comprimido;50 mg;Autorizado;S;Bluepharma - Indústria Farmacêutica, S.A.;50
16;Acarbose;Acarbose DNA Pharma;Comprimido;100 mg;Autorizado;S;DNA Pharma, Lda.;50
17;Acarbose;Acarbose DNA Pharma;Comprimido;50 mg;Autorizado;S;DNA Pharma, Lda.;50
18;Acarbose;Acarbose Establix;Comprimido;100 mg;Autorizado;S;Pentafarma - Sociedade Técnico-Medicinal, S.A.;50
19;Acarbose;Acarbose Establix;Comprimido;50 mg;Autorizado;S;Pentafarma - Sociedade Técnico-Medicinal, S.A.;50
20;Acarbose;Acarbose Farmoz;Comprimido;100 mg;Autorizado;S;Farmoz - Sociedade Técnico Medicinal, S.A.;50
21;Acarbose;Acarbose Farmoz;Comprimido;50 mg;Autorizado;S;Farmoz - Sociedade Técnico Medicinal, S.A.;50
22;Acarbose;Acarbose Friulchem;Comprimido;100 mg;Autorizado;S;Friulchem S.p.A.;50
23;Acarbose;Acarbose Friulchem;Comprimido;50 mg;Autorizado;S;Friulchem S.p.A.;50
24;Acarbose;Acarbose Generis;Comprimido;100 mg;Autorizado;S;Generis Farmacêutica, S.A.;50
25;Acarbose;Acarbose Generis;Comprimido;50 mg;Autorizado;S;Generis Farmacêutica, S.A.;50
26;Acarbose;Acarbose Labesfal;Comprimido;100 mg;Autorizado;S;Labesfal Genéricos, S.A;50
27;Acarbose;Acarbose Labesfal;Comprimido;50 mg;Autorizado;S;Labesfal Genéricos, S.A;50
28;Acarbose;Acarbose Mylan;Comprimido;100 mg;Autorizado;S;Mylan, Lda.;50
29;Acarbose;Acarbose Mylan;Comprimido;50 mg;Autorizado;S;Mylan, Lda.;50
30;Acarbose;Glucobay;Comprimido;100 mg;Autorizado;N;Centrofarma - Indústria e Comércio de Produtos Farmacêuticos Unipessoal, Lda.;50
31;Acarbose;Glucobay;Comprimido;50 mg;Autorizado;N;Centrofarma - Indústria e Comércio de Produtos Farmacêuticos Unipessoal, Lda.;50
32;Acarbose;Glucobay;Comprimido orodispersível;100 mg;Autorizado;N;Centrofarma - Indústria e Comércio de Produtos Farmacêuticos Unipessoal, Lda.;50
33;Acarbose;Glucobay;Comprimido orodispersível;50 mg;Autorizado;N;Centrofarma - Indústria e Comércio de Produtos Farmacêuticos Unipessoal, Lda.;50
34;Aceclofenac;Aceclofenac Alter 100 mg Comprimidos;Comprimido revestido por película;100 mg;Autorizado;S;Alter, S.A.;50
35;Aceclofenac;Aceclofenac Avidraran;Comprimido revestido por película;100 mg;Autorizado;S;Generis Farmacêutica, S.A.;50
36;Aceclofenac;Aceclofenac Ciclum 100 mg Comprimidos;Comprimido revestido por película;100 mg;Autorizado;S;Ciclum Farma Unipessoal, Lda.;50
